audio_id,query_id,speaker_id,reference_transcript,environment,noise_condition,expected_identifiers,target_kb_id,split,file
aud_095,h008,tts_moira,Which belts serve terminal 2 arrivals?,quiet,clean,,baggage_reclaim_t2,heldout,files/aud_095.wav
aud_096,h027,tts_moira,Is flight LH 2004 boarding yet?,quiet,clean,,flight_information,heldout,files/aud_096.wav
aud_097,q001,tts_rishi,Where is gate B12?,quiet,clean,B12,gates_pier_b,dev,files/aud_097.wav
aud_098,q002,tts_rishi,How do I get to A7,quiet,clean,A7,gates_pier_a,dev,files/aud_098.wav
aud_099,q003,tts_rishi,gate c3?,quiet,clean,C3,gates_pier_c,dev,files/aud_099.wav
aud_100,q006,tts_rishi,Check-in desks Terminal 2,quiet,clean,,checkin_t2,dev,files/aud_100.wav
aud_101,q007,tts_rishi,Where is desk 145?,quiet,clean,DESK 145,checkin_t1,dev,files/aud_101.wav
aud_102,q011,tts_rishi,Baggage claim terminal 1,quiet,clean,,baggage_reclaim_t1,dev,files/aud_102.wav
aud_103,q012,tts_rishi,Where is belt 8?,quiet,clean,BELT 8,baggage_reclaim_t2,dev,files/aud_103.wav
aud_104,q014,tts_rishi,lost and found,quiet,clean,,lost_property_t1,dev,files/aud_104.wav
aud_105,q019,tts_rishi,Is there a lounge in Terminal 2?,quiet,clean,,lounge_aurora,dev,files/aud_105.wav
aud_106,q023,tts_rishi,Is the lounge open right now?,quiet,clean,,lounge_aurora,dev,files/aud_106.wav
aud_107,q025,tts_rishi,accessible toilet terminal 2,quiet,clean,,restrooms_t2,dev,files/aud_107.wav
aud_108,q027,tts_rishi,wheelchair help terminal 2,quiet,clean,,prm_point_t2,dev,files/aud_108.wav
aud_109,q030,tts_rishi,Where is the train station?,quiet,clean,,rail_station,dev,files/aud_109.wav
aud_110,q033,tts_rishi,I parked in P1 - how do I get back there?,quiet,clean,,car_park_p1,dev,files/aud_110.wav
aud_111,q034,tts_rishi,How do I get from Terminal 1 to Terminal 2?,quiet,clean,,shuttle_t1_t2,dev,files/aud_111.wav
aud_112,q035,tts_rishi,Is my flight NH123 delayed?,quiet,clean,,flight_information,dev,files/aud_112.wav
aud_113,q036,tts_rishi,What gate is flight XY456 leaving from?,quiet,clean,,flight_information,dev,files/aud_113.wav
aud_114,q037,tts_rishi,when does boarding start,quiet,clean,,flight_information,dev,files/aud_114.wav
aud_115,q041,tts_rishi,Where is gate B21?,quiet,clean,B21,,dev,files/aud_115.wav
aud_116,q043,tts_rishi,Kayip esya ofisi nerede?,quiet,clean,,lost_property_t1,dev,files/aud_116.wav
aud_117,h001,tts_rishi,Gate A11 please,quiet,clean,A11,gates_pier_a,heldout,files/aud_117.wav
aud_118,h004,tts_rishi,I have desk 225 on my ticket which terminal is that?,quiet,clean,DESK 225,checkin_t2,heldout,files/aud_118.wav
aud_119,h008,tts_rishi,Which belts serve terminal 2 arrivals?,quiet,clean,,baggage_reclaim_t2,heldout,files/aud_119.wav
aud_120,h027,tts_rishi,Is flight LH 2004 boarding yet?,quiet,clean,,flight_information,heldout,files/aud_120.wav
aud_121,s001,spk_01,Where is belt 9?,quiet,clean,BELT 9,baggage_reclaim_t2,heldout,files/aud_121.wav
aud_122,s002,spk_01,Baggage claim terminal 2,quiet,clean,,baggage_reclaim_t2,heldout,files/aud_122.wav
aud_123,q037,spk_01,when does boarding start,quiet,clean,,flight_information,dev,files/aud_123.wav
aud_124,s003,spk_01,gate c1,quiet,clean,C1,gates_pier_c,heldout,files/aud_124.wav
aud_125,q030,spk_01,Where is the train station?,quiet,clean,,rail_station,dev,files/aud_125.wav
