blind_id,query,expected_decision,actual_decision,expected_category,actual_category,expected_record_id,actual_record_id,candidates,stage,match_score,band,route,flags,verdict,correct,safety_note,final_response
T3_B011,Can I still get a hot meal at the Skyline at quarter past nine in the evening?,answer,answer,restaurant,restaurant,restaurant_skyline,restaurant_skyline,restaurant_skyline,alias_lookup,,strong match,text_only,,correct,True,,"Skyline Restaurant is in Terminal 1, Airside Plaza. // In the Airside Plaza between Piers A and B, opposite the departure boards."
T3_B012,wheres the toilet,clarify,clarify,restroom,restroom,,,restrooms_t2|restrooms_t1_departures|restrooms_t1_arrivals,category_filter_semantic,0.6511,uncertain,text_only,,correct,True,,There is more than one restroom location. Are you in Terminal 1 or Terminal 2?
T3_B013,where do I check in?,clarify,clarify,check_in,check_in,,,checkin_t1|checkin_t2,category_filter_semantic,0.3138,uncertain,text_only,,correct,True,,There is more than one check-in location. Are you in Terminal 1 or Terminal 2?
T3_B014,Where is the security checkpoint please,clarify,clarify,security,security,,,security_t1_north|security_t1_south|security_t2,category_filter_semantic,0.7543,uncertain,text_only,,correct,True,,There is more than one security location. Are you in Terminal 1 or Terminal 2?
T3_B015,"I have got about two hours before boarding and I am starving, where can I get something to eat?",clarify,clarify,restaurant,restaurant,,,cafe_harbour|restaurant_skyline|cafe_pier_c,category_filter_semantic,0.4952,uncertain,text_only,,correct,True,,There is more than one restaurant location. Are you in Terminal 1 or Terminal 2?
T3_B016,Is flight NV412 to Bergen running late?,redirect,redirect,information,information,,flight_information,flight_information,no_retrieval,,strong match,text_only,volatile,correct,True,,"I do not hold live flight, gate or delay information. // This assistant does not hold live flight data. For gate allocations, delays, boarding times and cancellations, use the boards or the airline's official channels."
T3_B017,which gate does the 14:05 to Amsterdam go from?,redirect,clarify,gate,gate,,,gates_pier_a|gates_pier_c|gates_pier_b,category_filter_semantic,0.4379,uncertain,text_only,intent_unsupported,safe_mismatch,False,safe: a different safe decision than expected,There is more than one gate location. Are you in Terminal 1 or Terminal 2?
T3_B018,how do i get to gate D4?,abstain,clarify,,gate,,,gates_pier_c|gates_pier_a|gates_pier_b,category_filter_semantic,0.515,uncertain,text_only,,safe_mismatch,False,safe: a different safe decision than expected,There is more than one gate location. Are you in Terminal 1 or Terminal 2?
T3_B019,is there a pharmacy airside where I can buy paracetamol?,abstain,abstain,,,,,,no_retrieval,,no reliable match,text_only,unsupported_service|action_request,correct,True,,"I cannot book, reserve, print or arrange anything; I can only give information about the airport."
T3_B020,do I need a visa to transit through here?,abstain,abstain,,,,,,no_retrieval,,no reliable match,text_only,unsupported_service,correct,True,,"I don't have reliable information about ""visa"" in this airport knowledge base. Please check an information desk or official airport information."
